battle_id,attacker_faction,defender_faction,terrain,weather,att_heavy_infantry,att_spearmen,att_sword_infantry,att_archers,att_skirmishers,att_light_cavalry,att_shock_cavalry,att_artillery,def_heavy_infantry,def_spearmen,def_sword_infantry,def_archers,def_skirmishers,def_light_cavalry,def_shock_cavalry,def_artillery,att_general_rating,def_general_rating,att_avg_morale,def_avg_morale,att_fatigue,def_fortified,att_reinforcement_minute,resolution_mode,current_autoresolver_call,att_casualty_pct,def_casualty_pct,outcome
B0147,Kessari Riders,Mareth Imperium,marsh,clear,3,3,1,5,1,6,1,2,3,2,4,1,0,0,13,2,4,5,66,72,67,0,6,manual,defender,0.804,0.38,defender
B0148,Latian Republic,Selene Dominion,hills,clear,2,0,3,3,1,8,0,3,3,5,0,4,3,1,1,5,1,1,62,52,25,1,0,auto,defender,0.367,0.75,attacker
B0149,Mareth Imperium,Latian Republic,forest,rain,13,1,6,0,0,2,2,1,6,3,15,0,0,3,0,0,5,4,65,51,56,0,14,auto,attacker,0.474,0.785,attacker
B0150,Mareth Imperium,Duskwood Clans,plains,fog,8,2,2,1,5,0,3,1,0,3,8,1,3,9,2,0,4,2,71,73,37,0,0,auto,defender,0.795,0.396,defender
B0151,Vharn Confederacy,Duskwood Clans,river_crossing,rain,9,2,4,4,1,3,0,0,1,0,3,2,17,3,1,0,5,4,65,67,88,1,0,auto,defender,0.803,0.449,defender
B0152,Kessari Riders,Duskwood Clans,plains,clear,0,9,0,1,2,6,3,0,2,2,0,5,12,0,0,4,3,4,61,59,36,0,0,auto,defender,0.444,0.659,attacker
B0153,Kessari Riders,Orenthal League,forest,rain,0,5,1,3,10,2,4,0,3,6,0,13,3,1,0,1,4,4,74,58,49,0,0,auto,attacker,0.493,0.697,attacker
B0154,Vharn Confederacy,Duskwood Clans,hills,clear,4,9,0,8,2,2,3,0,2,3,10,2,1,0,1,0,2,5,55,93,37,0,0,auto,attacker,0.41,0.848,attacker
B0155,Mareth Imperium,Kessari Riders,river_crossing,clear,7,10,1,0,1,0,5,0,0,5,0,3,8,3,2,1,2,2,60,69,32,0,0,manual,attacker,0.555,0.745,attacker
B0156,Selene Dominion,Sable Nomads,hills,fog,1,3,2,1,1,1,0,16,4,4,5,2,1,6,0,0,5,5,42,71,44,0,0,auto,attacker,0.755,0.31,defender
B0157,Sable Nomads,Duskwood Clans,marsh,fog,2,3,1,8,2,7,0,4,1,7,3,1,5,3,1,4,4,3,48,75,77,0,14,manual,attacker,0.865,0.539,defender
B0158,Kessari Riders,Selene Dominion,plains,fog,3,0,0,5,2,0,3,5,10,2,0,2,2,0,0,3,5,4,40,77,9,0,9,manual,attacker,0.453,0.776,attacker
B0159,Vharn Confederacy,Kessari Riders,forest,fog,1,7,6,3,2,0,0,3,0,0,0,1,0,10,8,2,3,1,85,91,11,1,0,auto,attacker,0.398,0.765,attacker
B0160,Mareth Imperium,Duskwood Clans,hills,clear,8,2,0,2,0,1,9,1,0,2,4,3,7,2,3,0,2,4,64,60,27,1,0,auto,attacker,0.399,0.76,attacker
B0161,Mareth Imperium,Orenthal League,forest,rain,2,2,6,0,4,1,1,6,6,1,3,3,7,2,1,0,4,5,47,91,40,1,0,auto,defender,0.803,0.399,defender
B0162,Selene Dominion,Orenthal League,river_crossing,clear,0,8,3,3,2,3,1,7,5,0,4,1,1,7,0,5,3,3,44,90,0,1,0,manual,attacker,0.464,0.83,attacker
B0163,Kessari Riders,Vharn Confederacy,forest,clear,8,0,0,3,1,10,2,4,2,2,3,1,0,6,4,1,4,2,55,88,23,0,0,auto,attacker,0.434,0.819,attacker
B0164,Vharn Confederacy,Latian Republic,plains,fog,5,3,1,1,9,0,2,1,1,9,6,0,1,5,0,0,3,1,70,73,26,1,9,auto,attacker,0.8,0.441,defender
B0165,Kessari Riders,Mareth Imperium,hills,clear,0,2,1,5,3,7,7,0,2,12,0,1,4,0,1,3,4,2,41,67,14,1,25,manual,attacker,0.647,0.489,defender
B0166,Kessari Riders,Orenthal League,plains,rain,0,0,12,2,0,2,2,1,1,3,2,0,1,2,14,1,5,2,59,76,7,1,21,auto,defender,0.849,0.313,defender
B0167,Mareth Imperium,Duskwood Clans,plains,clear,1,3,0,2,1,8,7,2,3,7,2,3,9,0,0,0,3,4,60,79,20,0,0,auto,attacker,0.434,0.795,attacker
B0168,Latian Republic,Selene Dominion,plains,fog,5,4,1,2,5,0,1,6,1,0,1,10,5,6,0,3,2,1,59,58,7,0,0,auto,attacker,0.827,0.454,defender
B0169,Vharn Confederacy,Latian Republic,marsh,clear,3,3,2,1,2,4,8,1,5,4,9,0,1,1,1,0,1,4,74,85,50,1,22,auto,attacker,0.671,0.354,defender
B0170,Latian Republic,Mareth Imperium,forest,clear,4,1,6,1,0,3,1,3,3,5,0,0,4,6,4,9,5,4,61,57,40,0,7,auto,defender,0.849,0.415,defender
B0171,Duskwood Clans,Mareth Imperium,river_crossing,clear,2,1,1,2,2,2,0,16,2,13,2,1,0,1,4,4,5,2,71,80,30,0,0,auto,attacker,0.719,0.47,defender
B0172,Orenthal League,Selene Dominion,plains,clear,5,1,3,7,3,0,4,2,0,11,2,2,2,8,1,1,1,5,83,90,34,1,0,auto,defender,0.815,0.362,defender
B0173,Vharn Confederacy,Duskwood Clans,hills,clear,1,4,2,0,3,6,7,0,3,3,1,6,6,3,2,3,4,4,64,62,25,1,13,auto,defender,0.517,0.844,attacker
B0174,Vharn Confederacy,Orenthal League,plains,clear,8,2,0,3,0,0,2,13,11,1,0,1,2,1,2,7,1,2,47,63,27,0,0,auto,attacker,0.774,0.479,defender
B0175,Kessari Riders,Latian Republic,hills,clear,3,0,3,0,8,1,5,0,7,4,0,2,1,3,1,1,1,1,86,78,48,0,6,auto,attacker,0.772,0.461,defender
B0176,Mareth Imperium,Orenthal League,plains,fog,8,3,1,2,1,0,2,1,6,2,1,10,3,0,2,0,2,1,67,73,41,0,0,manual,defender,0.709,0.392,defender
B0177,Duskwood Clans,Mareth Imperium,river_crossing,clear,1,1,0,3,4,12,0,1,3,19,0,1,1,1,7,0,1,4,71,75,0,1,0,auto,defender,0.657,0.323,defender
B0178,Duskwood Clans,Kessari Riders,river_crossing,clear,1,3,0,8,3,4,3,3,4,0,1,1,1,7,4,0,4,1,74,66,43,0,8,auto,attacker,0.493,0.736,attacker
B0179,Vharn Confederacy,Duskwood Clans,plains,clear,3,5,1,1,5,2,0,4,0,0,1,3,11,1,0,5,2,3,75,52,49,0,22,auto,attacker,0.367,0.765,attacker
B0180,Mareth Imperium,Vharn Confederacy,marsh,clear,3,0,3,1,3,1,8,4,3,4,6,3,2,0,1,4,2,4,74,80,48,1,11,auto,attacker,0.669,0.428,defender
B0181,Orenthal League,Vharn Confederacy,plains,rain,1,10,3,1,3,1,2,0,2,6,4,6,0,0,0,4,2,5,88,61,40,0,0,auto,attacker,0.508,0.809,attacker
B0182,Selene Dominion,Vharn Confederacy,plains,clear,1,2,0,2,3,0,1,12,1,2,0,10,4,0,0,3,1,3,95,69,33,0,0,manual,attacker,0.457,0.794,attacker
B0183,Kessari Riders,Vharn Confederacy,forest,clear,1,1,7,1,6,4,1,2,5,1,0,20,0,0,0,1,3,2,76,66,15,1,0,auto,defender,0.408,0.863,attacker
B0184,Latian Republic,Kessari Riders,plains,clear,2,5,5,2,6,4,1,0,0,0,2,0,3,12,6,4,5,1,86,88,53,1,0,auto,defender,0.721,0.449,defender
B0185,Selene Dominion,Latian Republic,plains,clear,3,3,1,7,4,0,0,2,0,6,8,1,1,0,5,3,1,4,88,78,19,0,6,auto,defender,0.795,0.554,defender
B0186,Vharn Confederacy,Orenthal League,hills,fog,4,7,9,0,0,1,0,0,1,3,4,2,1,2,6,2,1,1,60,77,33,0,0,auto,attacker,0.532,0.736,attacker
B0187,Latian Republic,Orenthal League,plains,rain,4,2,5,1,1,3,10,1,4,1,8,1,0,7,0,6,3,1,66,57,25,1,0,manual,attacker,0.476,0.849,attacker
B0188,Vharn Confederacy,Sable Nomads,river_crossing,fog,1,16,1,1,0,8,0,2,4,1,0,2,9,7,5,0,4,1,91,100,12,0,10,manual,attacker,0.264,0.832,attacker
B0189,Orenthal League,Vharn Confederacy,marsh,fog,13,1,2,1,0,3,4,6,5,2,0,5,4,4,0,1,1,5,59,77,34,1,0,manual,attacker,0.607,0.79,attacker
B0190,Duskwood Clans,Orenthal League,marsh,rain,0,1,1,6,11,3,0,0,0,1,1,6,6,1,1,7,4,5,69,46,68,0,0,manual,attacker,0.575,0.705,attacker
B0191,Duskwood Clans,Latian Republic,hills,clear,0,3,1,1,4,6,6,2,10,0,4,3,8,2,0,1,3,5,53,85,52,1,0,auto,defender,0.799,0.408,defender
B0192,Duskwood Clans,Latian Republic,river_crossing,fog,1,0,2,7,3,10,0,1,3,9,1,1,2,2,6,0,5,1,73,82,35,0,25,manual,attacker,0.682,0.42,defender
B0193,Latian Republic,Sable Nomads,hills,rain,5,0,13,3,2,1,0,2,0,0,3,7,4,4,0,2,3,4,51,80,20,0,0,auto,attacker,0.506,0.774,attacker
B0194,Sable Nomads,Kessari Riders,plains,fog,4,1,6,12,1,5,0,2,1,0,2,6,3,1,10,3,1,5,62,80,63,1,0,auto,attacker,0.724,0.449,defender
B0195,Kessari Riders,Vharn Confederacy,hills,rain,7,3,1,1,0,2,12,4,6,4,0,7,0,3,1,0,5,4,55,66,0,0,0,manual,attacker,0.536,0.71,attacker
B0196,Duskwood Clans,Selene Dominion,marsh,clear,1,1,11,1,5,1,1,0,1,5,4,1,1,3,5,2,4,1,53,94,44,1,25,auto,defender,0.859,0.484,defender
B0197,Vharn Confederacy,Duskwood Clans,hills,clear,9,2,2,3,3,2,1,0,2,1,6,1,10,3,0,2,1,4,62,64,26,0,25,auto,defender,0.367,0.754,attacker
B0198,Kessari Riders,Sable Nomads,forest,clear,2,3,2,0,2,9,1,0,1,0,0,6,1,6,7,1,5,4,68,69,36,0,0,auto,defender,0.412,0.704,attacker
B0199,Duskwood Clans,Mareth Imperium,forest,clear,1,2,0,1,4,4,5,5,13,2,5,1,3,0,0,0,5,5,99,68,41,1,16,auto,defender,0.807,0.288,defender
B0200,Latian Republic,Sable Nomads,river_crossing,clear,6,1,3,0,0,7,0,1,0,3,0,6,4,8,0,6,5,2,71,58,62,0,12,auto,defender,0.698,0.506,defender
B0201,Selene Dominion,Vharn Confederacy,forest,clear,1,2,0,1,3,0,6,4,3,4,0,15,7,0,1,0,4,4,70,56,49,0,0,manual,defender,0.761,0.38,defender
B0202,Duskwood Clans,Mareth Imperium,river_crossing,clear,3,0,1,4,13,4,2,1,4,0,0,2,0,1,11,0,5,3,73,94,63,0,0,auto,attacker,0.687,0.461,defender
B0203,Sable Nomads,Kessari Riders,forest,clear,4,0,1,0,2,8,0,3,5,0,2,1,6,7,3,0,2,2,70,77,56,0,0,auto,defender,0.774,0.441,defender
B0204,Selene Dominion,Duskwood Clans,river_crossing,clear,0,2,3,2,2,0,7,8,2,2,6,6,6,2,1,0,4,1,73,80,34,0,13,manual,attacker,0.98,0.46,defender
B0205,Selene Dominion,Sable Nomads,marsh,rain,2,1,5,10,1,0,0,2,1,0,0,9,1,9,2,4,5,1,55,89,38,0,0,auto,defender,0.758,0.423,defender
B0206,Mareth Imperium,Kessari Riders,forest,clear,5,4,2,1,10,0,1,2,0,0,4,1,5,2,14,1,4,5,56,77,0,1,0,manual,defender,0.489,0.849,attacker
B0207,Kessari Riders,Latian Republic,hills,rain,0,0,12,1,9,3,2,0,0,1,12,1,0,9,0,0,4,2,92,93,4,0,0,auto,attacker,0.469,0.702,attacker
B0208,Mareth Imperium,Duskwood Clans,plains,clear,7,2,0,0,5,0,9,0,3,0,10,1,6,1,0,1,3,2,65,71,76,1,0,auto,attacker,0.349,0.582,attacker
B0209,Mareth Imperium,Latian Republic,plains,rain,4,1,2,2,0,0,5,8,2,1,3,7,1,3,3,2,4,2,76,66,53,0,0,manual,attacker,0.766,0.433,defender
B0210,Kessari Riders,Selene Dominion,plains,fog,0,2,0,2,4,8,6,0,7,1,0,0,2,1,7,9,3,3,85,84,23,0,0,auto,defender,0.409,0.668,attacker
B0211,Orenthal League,Selene Dominion,plains,clear,3,2,3,5,8,1,0,0,1,2,3,1,6,0,4,3,5,2,52,56,3,1,16,manual,attacker,0.758,0.485,defender
B0212,Orenthal League,Duskwood Clans,marsh,rain,6,2,1,3,4,3,0,5,1,3,1,3,7,2,2,5,3,1,55,73,53,1,0,auto,attacker,0.745,0.531,defender
B0213,Duskwood Clans,Mareth Imperium,marsh,clear,5,0,8,4,1,6,1,3,6,0,1,1,2,10,2,0,2,1,100,62,60,0,0,manual,attacker,0.493,0.742,attacker
B0214,Sable Nomads,Kessari Riders,plains,clear,7,0,2,10,0,3,0,2,2,0,0,0,11,3,2,1,2,5,76,64,68,0,0,auto,attacker,0.648,0.422,defender
B0215,Vharn Confederacy,Selene Dominion,hills,rain,0,13,0,3,3,0,1,1,0,5,0,4,10,1,0,0,5,5,65,71,26,0,25,auto,attacker,0.821,0.398,defender
B0216,Orenthal League,Mareth Imperium,plains,clear,7,1,2,5,4,3,0,0,8,14,1,0,0,0,1,1,4,5,81,61,29,0,0,manual,defender,0.458,0.839,attacker
B0217,Selene Dominion,Latian Republic,hills,clear,0,1,3,5,3,1,9,3,15,0,3,0,1,0,1,5,2,2,47,69,38,0,0,auto,attacker,0.403,0.719,attacker
B0218,Vharn Confederacy,Latian Republic,hills,clear,5,3,1,3,1,5,0,3,1,1,1,0,14,3,3,2,4,5,72,53,24,0,21,auto,defender,0.461,0.9,attacker
B0219,Orenthal League,Selene Dominion,plains,clear,3,1,2,9,4,5,1,0,1,1,1,18,4,0,0,2,3,2,71,86,25,0,0,auto,attacker,0.449,0.686,attacker
B0220,Vharn Confederacy,Latian Republic,plains,clear,7,3,8,2,0,0,0,0,1,1,7,1,4,1,0,9,4,3,74,52,40,0,0,auto,defender,0.711,0.46,defender
B0221,Orenthal League,Latian Republic,marsh,clear,1,14,1,0,0,3,0,0,17,2,1,0,1,1,1,0,3,2,81,60,49,1,0,auto,defender,0.877,0.437,defender
B0222,Orenthal League,Mareth Imperium,forest,clear,3,3,5,1,1,2,1,5,8,4,1,1,0,3,9,0,4,3,81,45,51,1,19,manual,defender,0.761,0.474,defender
B0223,Kessari Riders,Selene Dominion,forest,clear,3,1,0,1,1,9,12,1,2,3,4,10,1,0,1,6,5,2,72,88,37,0,0,auto,attacker,0.505,0.904,attacker
B0224,Selene Dominion,Latian Republic,hills,fog,1,0,1,4,0,8,0,12,9,3,4,1,0,5,2,1,1,5,64,81,38,1,0,auto,attacker,0.717,0.463,defender
B0225,Orenthal League,Sable Nomads,plains,fog,0,1,3,13,0,1,0,4,0,0,0,6,2,6,7,1,1,1,57,68,66,0,5,auto,attacker,0.707,0.343,defender
B0226,Selene Dominion,Duskwood Clans,plains,clear,1,4,2,0,10,2,2,3,0,1,9,1,3,5,3,1,4,2,69,91,29,0,0,auto,attacker,0.709,0.461,defender
B0227,Latian Republic,Orenthal League,hills,clear,5,7,5,0,1,0,0,8,3,2,8,4,0,3,0,3,4,2,55,50,50,1,0,auto,attacker,0.842,0.43,defender
B0228,Kessari Riders,Duskwood Clans,plains,clear,0,3,0,4,1,2,15,3,1,1,10,0,6,1,2,1,2,5,72,71,56,1,0,auto,attacker,0.399,0.581,attacker
B0229,Orenthal League,Vharn Confederacy,plains,clear,1,0,6,1,3,0,2,8,1,2,2,2,0,4,1,14,3,3,83,82,34,1,0,auto,defender,0.734,0.304,defender
B0230,Vharn Confederacy,Orenthal League,hills,rain,1,7,6,3,0,2,3,2,1,2,4,4,0,6,3,2,4,5,75,72,35,1,0,manual,attacker,0.42,0.677,attacker
B0231,Orenthal League,Sable Nomads,plains,clear,1,1,3,12,5,1,0,0,0,0,0,8,6,8,1,1,3,5,43,74,76,0,0,auto,attacker,0.591,0.293,defender
B0232,Sable Nomads,Mareth Imperium,forest,clear,0,0,0,0,7,14,1,1,2,2,0,0,0,4,13,3,2,3,82,66,60,0,0,auto,attacker,0.498,0.362,defender
B0233,Orenthal League,Duskwood Clans,marsh,rain,0,13,0,6,1,7,3,0,5,0,2,0,7,6,1,3,2,1,72,47,19,0,6,auto,attacker,0.385,0.648,attacker
B0234,Selene Dominion,Orenthal League,plains,rain,1,13,3,1,2,1,0,2,3,5,7,1,4,1,1,1,5,1,87,85,0,0,0,auto,attacker,0.831,0.392,defender
B0235,Duskwood Clans,Selene Dominion,plains,clear,0,5,5,2,4,1,5,0,0,2,1,1,7,7,8,1,5,1,81,78,11,0,0,manual,defender,0.864,0.378,defender
B0236,Kessari Riders,Sable Nomads,plains,clear,0,1,2,7,1,14,0,2,2,3,0,9,6,7,2,0,3,4,62,54,32,0,18,manual,attacker,0.449,0.66,attacker
B0237,Mareth Imperium,Orenthal League,hills,rain,4,9,1,1,1,9,3,0,3,2,6,3,1,5,0,0,5,1,62,69,60,0,0,auto,attacker,0.464,0.72,attacker
B0238,Kessari Riders,Mareth Imperium,plains,fog,0,3,4,0,4,5,3,2,8,3,2,4,2,0,1,5,2,4,90,75,66,1,0,manual,defender,0.695,0.532,defender
B0239,Vharn Confederacy,Mareth Imperium,river_crossing,clear,3,4,5,3,0,0,2,8,2,3,0,0,0,0,7,9,2,3,83,79,68,0,9,auto,attacker,0.408,0.893,attacker
B0240,Latian Republic,Mareth Imperium,plains,clear,7,5,1,1,1,2,3,0,2,4,4,3,6,4,1,1,5,4,77,54,41,0,18,auto,defender,0.454,0.952,attacker
B0241,Orenthal League,Selene Dominion,plains,clear,1,4,5,1,5,8,4,0,0,2,0,1,3,1,1,9,3,2,70,95,3,1,20,auto,attacker,0.311,0.698,attacker
B0242,Selene Dominion,Duskwood Clans,hills,rain,0,2,1,6,7,4,1,1,0,2,2,3,6,2,0,9,4,4,97,67,24,0,22,manual,attacker,0.418,0.744,attacker
B0243,Vharn Confederacy,Latian Republic,river_crossing,fog,4,8,0,2,3,0,3,3,5,0,9,2,4,0,1,6,1,3,65,40,31,0,22,auto,defender,0.629,0.473,defender
B0244,Kessari Riders,Selene Dominion,forest,clear,1,0,0,1,3,9,2,3,0,2,2,7,5,4,2,5,1,1,71,100,17,0,14,auto,defender,0.427,0.819,attacker
B0245,Selene Dominion,Duskwood Clans,forest,rain,2,8,0,2,12,1,0,2,4,5,1,1,13,0,0,2,4,2,97,85,24,0,0,auto,attacker,0.515,0.772,attacker
B0246,Sable Nomads,Duskwood Clans,river_crossing,clear,1,1,0,2,1,19,1,0,1,0,3,1,4,7,0,3,4,5,78,62,3,1,0,manual,attacker,0.495,0.77,attacker
B0247,Sable Nomads,Orenthal League,forest,rain,0,7,1,3,3,5,1,0,1,1,5,4,2,6,3,0,4,5,68,62,26,0,17,auto,attacker,0.44,0.904,attacker
B0248,Mareth Imperium,Vharn Confederacy,river_crossing,fog,3,3,1,5,0,0,12,0,5,10,0,4,1,0,2,4,5,2,50,74,21,0,9,auto,attacker,0.88,0.429,defender
B0249,Duskwood Clans,Kessari Riders,forest,clear,2,2,4,6,6,7,2,0,0,0,3,1,3,2,4,5,2,4,62,50,43,0,0,auto,attacker,0.312,0.704,attacker
B0250,Sable Nomads,Duskwood Clans,hills,clear,6,2,3,2,7,3,0,0,1,2,3,0,6,5,0,7,1,5,55,56,58,0,22,manual,attacker,0.722,0.498,defender
B0251,Mareth Imperium,Sable Nomads,river_crossing,fog,3,0,0,2,8,5,3,0,2,0,4,13,0,3,2,0,1,1,83,81,35,0,20,auto,defender,0.386,0.772,attacker
B0252,Selene Dominion,Orenthal League,plains,rain,0,4,0,1,8,0,5,8,5,5,0,0,7,1,0,1,3,4,82,59,38,1,0,manual,attacker,0.393,0.602,attacker
B0253,Kessari Riders,Orenthal League,forest,rain,0,1,1,5,0,6,12,1,1,1,0,2,0,7,8,4,4,1,51,67,0,0,0,auto,attacker,0.323,0.826,attacker
B0254,Orenthal League,Vharn Confederacy,hills,clear,1,1,2,4,0,3,13,0,3,4,1,10,0,1,0,5,3,2,65,82,51,0,19,auto,attacker,0.368,0.786,attacker
B0255,Kessari Riders,Mareth Imperium,marsh,clear,7,1,0,0,2,2,10,1,1,2,0,3,3,0,8,1,1,5,61,62,43,0,0,manual,attacker,0.332,0.626,attacker
B0256,Sable Nomads,Mareth Imperium,forest,clear,0,0,4,8,3,1,13,1,15,0,3,0,0,1,8,0,3,4,79,84,41,1,24,auto,attacker,0.719,0.431,defender
B0257,Latian Republic,Selene Dominion,marsh,clear,2,2,16,1,0,2,0,0,0,2,0,9,6,0,1,2,5,3,76,62,44,1,0,auto,attacker,0.399,0.771,attacker
B0258,Selene Dominion,Latian Republic,plains,clear,7,1,4,4,4,2,5,2,7,2,2,3,2,6,3,0,4,4,84,82,23,0,20,auto,attacker,0.425,0.868,attacker
B0259,Sable Nomads,Selene Dominion,plains,clear,0,4,0,9,6,0,0,1,0,3,2,7,1,1,1,10,3,4,75,92,47,0,0,auto,defender,0.744,0.359,defender
B0260,Sable Nomads,Vharn Confederacy,forest,clear,0,2,0,2,9,3,7,2,8,5,5,3,0,1,5,0,3,1,87,69,46,1,0,auto,defender,0.674,0.335,defender
B0261,Kessari Riders,Orenthal League,plains,clear,0,2,0,0,4,5,3,10,7,6,3,3,1,1,3,3,2,4,66,40,19,0,0,auto,defender,0.623,0.391,defender
B0262,Sable Nomads,Selene Dominion,plains,clear,3,1,0,4,6,2,2,5,9,1,5,4,0,3,0,5,4,2,44,73,17,0,0,auto,defender,0.423,0.948,attacker
B0263,Orenthal League,Duskwood Clans,river_crossing,clear,1,6,5,0,0,6,2,2,2,1,6,3,5,1,3,0,1,1,86,68,47,1,0,auto,attacker,0.739,0.583,defender
B0264,Selene Dominion,Kessari Riders,marsh,rain,3,3,4,3,2,2,0,1,0,0,1,6,4,7,2,2,2,5,63,61,52,0,24,auto,defender,0.771,0.425,defender
B0265,Mareth Imperium,Kessari Riders,hills,clear,5,3,0,4,0,1,7,1,6,0,1,0,1,5,11,1,2,2,40,100,53,1,13,auto,defender,0.921,0.442,defender
B0266,Kessari Riders,Latian Republic,hills,clear,0,0,3,2,1,18,2,0,7,6,3,3,7,0,0,1,2,5,61,84,35,0,19,manual,attacker,0.82,0.481,defender
B0267,Kessari Riders,Sable Nomads,hills,clear,0,9,3,0,2,0,9,0,0,4,0,4,7,9,3,0,4,1,54,97,55,1,5,auto,defender,0.458,0.709,attacker
B0268,Vharn Confederacy,Selene Dominion,river_crossing,rain,6,5,0,2,5,2,0,2,2,2,0,4,11,0,1,2,4,4,59,69,9,1,0,manual,attacker,0.712,0.527,defender
B0269,Duskwood Clans,Kessari Riders,plains,clear,4,2,2,1,8,3,2,2,2,6,7,1,2,4,2,0,2,1,58,57,31,0,0,manual,attacker,0.846,0.442,defender
B0270,Duskwood Clans,Selene Dominion,plains,clear,1,1,2,8,6,3,6,0,5,2,1,9,0,0,1,5,1,5,44,83,0,1,0,auto,attacker,0.456,0.812,attacker
B0271,Sable Nomads,Latian Republic,plains,clear,2,0,1,9,8,2,0,1,1,5,4,2,0,0,9,1,5,2,81,75,0,0,0,auto,attacker,0.774,0.394,defender
B0272,Mareth Imperium,Selene Dominion,marsh,clear,3,1,1,0,9,1,3,0,0,2,4,2,3,1,0,8,5,4,70,93,58,0,20,auto,defender,0.549,0.757,attacker
B0273,Orenthal League,Kessari Riders,plains,fog,0,1,0,6,0,9,8,0,4,1,1,0,2,8,2,1,4,1,100,68,14,0,0,auto,attacker,0.396,0.768,attacker
B0274,Orenthal League,Sable Nomads,plains,clear,1,3,4,11,4,1,4,0,0,0,1,3,1,19,2,0,4,4,65,51,5,0,0,manual,attacker,0.669,0.424,defender
B0275,Mareth Imperium,Orenthal League,forest,clear,10,4,0,2,0,1,6,2,2,1,1,6,0,13,6,0,1,4,50,56,58,0,0,auto,defender,0.683,0.448,defender
B0276,Kessari Riders,Orenthal League,marsh,clear,0,2,0,2,2,8,8,4,1,2,7,3,1,6,2,0,3,4,74,55,20,0,0,manual,attacker,0.81,0.515,defender
B0277,Duskwood Clans,Vharn Confederacy,plains,clear,0,4,1,3,5,10,0,4,0,2,0,0,3,0,14,5,3,2,73,61,71,0,0,auto,attacker,0.817,0.456,defender
B0278,Kessari Riders,Duskwood Clans,plains,fog,0,4,12,0,6,4,1,1,1,5,0,7,4,0,0,6,5,3,77,72,10,1,0,auto,attacker,0.334,0.624,attacker
B0279,Vharn Confederacy,Duskwood Clans,plains,clear,8,3,3,1,0,2,4,3,0,1,1,5,6,9,1,0,4,3,74,54,51,0,5,manual,attacker,0.379,0.757,attacker
B0280,Orenthal League,Vharn Confederacy,hills,rain,6,0,4,2,1,2,1,6,2,11,2,1,3,2,0,3,5,3,76,81,30,1,0,auto,defender,0.651,0.625,defender
B0281,Duskwood Clans,Vharn Confederacy,hills,clear,2,1,4,4,11,1,2,3,3,7,1,5,1,4,0,1,1,2,57,58,24,0,0,auto,attacker,0.44,0.797,attacker
B0282,Duskwood Clans,Latian Republic,plains,clear,0,0,1,4,5,2,4,4,7,2,3,1,1,1,2,5,1,5,48,65,46,0,0,manual,attacker,0.81,0.467,defender
B0283,Duskwood Clans,Mareth Imperium,hills,clear,11,0,3,2,6,2,5,0,4,0,4,2,0,1,8,4,1,3,79,57,65,0,24,manual,attacker,0.43,0.818,attacker
B0284,Sable Nomads,Latian Republic,hills,clear,4,4,1,4,1,8,0,0,12,1,2,0,2,1,0,4,5,2,56,63,54,0,0,auto,attacker,0.358,0.659,attacker
B0285,Orenthal League,Selene Dominion,hills,clear,1,0,9,7,0,8,0,0,0,0,0,0,3,1,6,9,5,2,74,71,23,1,0,auto,attacker,0.442,0.733,attacker
B0286,Selene Dominion,Vharn Confederacy,river_crossing,clear,0,0,1,10,1,1,9,1,4,7,1,12,0,0,1,2,3,2,73,64,41,1,12,auto,defender,0.898,0.566,defender
B0287,Selene Dominion,Latian Republic,forest,clear,1,4,4,3,0,0,5,2,7,5,5,0,1,0,2,2,3,3,58,65,17,1,0,manual,defender,0.733,0.51,defender
B0288,Mareth Imperium,Vharn Confederacy,hills,fog,4,4,2,0,0,1,11,0,4,11,2,7,1,0,0,1,2,3,78,69,31,0,0,auto,defender,0.712,0.449,defender
B0289,Duskwood Clans,Selene Dominion,forest,rain,1,0,10,1,11,1,0,3,0,3,2,1,2,3,1,10,5,2,80,60,48,0,0,auto,attacker,0.336,0.694,attacker
B0290,Sable Nomads,Duskwood Clans,river_crossing,clear,2,2,9,1,0,4,0,3,3,2,10,5,4,2,2,0,4,2,79,93,48,1,13,auto,defender,0.668,0.411,defender
B0291,Latian Republic,Selene Dominion,plains,clear,3,4,9,1,0,1,2,5,1,1,1,2,8,2,0,9,1,1,80,80,12,0,0,manual,attacker,0.362,0.729,attacker
B0292,Selene Dominion,Latian Republic,hills,fog,3,0,0,6,2,0,1,7,3,9,0,0,2,0,3,6,4,5,56,49,40,1,24,auto,defender,0.763,0.289,defender
B0293,Vharn Confederacy,Latian Republic,hills,rain,7,5,2,3,1,1,3,2,2,6,3,0,2,0,0,14,1,4,74,94,12,0,0,auto,defender,0.467,0.767,attacker
B0294,Kessari Riders,Duskwood Clans,marsh,clear,1,0,1,13,1,3,5,1,1,4,4,2,5,1,3,1,3,4,74,79,0,1,0,manual,attacker,0.819,0.39,defender
B0295,Latian Republic,Orenthal League,plains,clear,2,1,3,1,1,1,1,15,4,3,4,2,0,3,0,3,4,5,54,85,36,0,0,auto,attacker,0.689,0.471,defender
B0296,Kessari Riders,Orenthal League,plains,fog,0,0,1,1,2,4,7,8,1,7,4,2,3,2,1,1,2,3,45,77,26,0,0,manual,attacker,0.744,0.43,defender
