unit_id,faction,unit_name,advertised_role,description
U159,Duskwood Clans,Golden Cutters,Line Infantry,On the field they rely on close-quarters brawl and duelists. They are well regarded by commanders. These troops are forest-wise irregulars. Commanders value them for press the advantage and versatile.
U160,Duskwood Clans,Golden Scouts,Missile,These troops are forest-wise irregulars. Commanders value them for hit-and-run riders and outriders. On the field they rely on wheel and retreat and run down stragglers. They are well regarded by commanders.
U161,Duskwood Clans,High Runners,Skirmisher,These troops are forest-wise irregulars. They are recruited each season. Commanders value them for javelins and nimble. On the field they rely on harass and screen the advance.
U162,Duskwood Clans,Red Skirmishers,Skirmisher,These troops are hunters of the Duskwood. Commanders value them for dart in and out. They are the backbone of many campaigns. On the field they rely on hit and run and screen the advance.
U163,Duskwood Clans,Golden Phalanx,Anti-Cavalry,On the field they rely on set to receive and long shafts. Commanders value them for hedge of steel. They are well regarded by commanders. These troops are hunters of the Duskwood.
U164,Duskwood Clans,Storm Knights,Cavalry,On the field they rely on overrun and drive deep. Commanders value them for armored heavy horse. They are well regarded by commanders. These troops are hunters of the Duskwood.
U165,Duskwood Clans,High Guard,Line Infantry,Commanders value them for quick footwork. They are fielded in most engagements. On the field they rely on swordsmen and press the advantage. These troops are forest-wise irregulars.
U166,Duskwood Clans,Iron Spears,Anti-Cavalry,They are seasoned veterans. Commanders value them for wall of points and braced spears. On the field they rely on repel the charge and long shafts. These troops are hunters of the Duskwood.
U167,Duskwood Clans,Ashen Bows,Missile,These troops are forest-wise irregulars. They are seasoned veterans. On the field they rely on massed volley and picking off. Commanders value them for field of arrows and quivers emptied.
U168,Duskwood Clans,Old Archers,Missile,On the field they rely on rain of shafts and draw and release. Commanders value them for loose at range and quivers emptied. They are well regarded by commanders. These troops are hunters of the Duskwood.
U169,Duskwood Clans,Ashen Hussars,Cavalry,On the field they rely on run down stragglers and hit-and-run riders. Commanders value them for wheel and retreat. They are recruited each season. These troops are forest-wise irregulars.
U170,Duskwood Clans,Iron Blades,Line Infantry,On the field they rely on swordsmen and opportunistic strikes. Commanders value them for duelists. These troops are forest-wise irregulars. They are the backbone of many campaigns.
U171,Duskwood Clans,Storm Wardens,Line Infantry,These troops are hunters of the Duskwood. On the field they rely on hold the line and the anvil of the army. They are well regarded by commanders. Commanders value them for unbreakable ranks and absorb the charge.
U172,Duskwood Clans,Storm Slingers,Skirmisher,Commanders value them for harass and loose formation. They are a mainstay of the roster. On the field they rely on nimble and screen the advance. These troops are forest-wise irregulars.
U173,Duskwood Clans,High Cutters,Line Infantry,These troops are hunters of the Duskwood. They are seasoned veterans. On the field they rely on opportunistic strikes and cut through the line. Commanders value them for versatile and close-quarters brawl.
U174,Duskwood Clans,Gray Swords,Line Infantry,These troops are hunters of the Duskwood. On the field they rely on flanking maneuvers and duelists. Commanders value them for swordsmen and close-quarters brawl. They are well regarded by commanders.
U175,Duskwood Clans,Iron Riders,Cavalry,These troops are hunters of the Duskwood. Commanders value them for swift mounts and outriders. They are the backbone of many campaigns. On the field they rely on loose skirmishing horse and scouting screen.
U176,Duskwood Clans,Silent Guard,Line Infantry,Commanders value them for aggressive blades and opportunistic strikes. On the field they rely on versatile and press the advantage. They are recruited each season. These troops are forest-wise irregulars.
U177,Duskwood Clans,High Legionaries,Line Infantry,They are a mainstay of the roster. On the field they rely on the anvil of the army and grinding attrition. These troops are forest-wise irregulars. Commanders value them for absorb the charge and hold the line.
U178,Duskwood Clans,Ashen Riders,Missile,They are fielded in most engagements. These troops are forest-wise irregulars. Commanders value them for harassing horse. On the field they rely on encircle the flanks and chase the routed.
U179,Duskwood Clans,Old Longbows,Missile,They are seasoned veterans. On the field they rely on ranged fire and loose at range. These troops are hunters of the Duskwood. Commanders value them for draw and release and arcing arrows.
U180,Mareth Imperium,Storm Lances of Foot,Anti-Cavalry,On the field they rely on braced spears and set to receive. They are recruited each season. Commanders value them for wall of points. These troops are gilded veterans of Mareth.
U181,Mareth Imperium,High Lancers,Line Infantry,They are recruited each season. On the field they rely on crash into the line and drive deep. These troops are household troops of the Imperium. Commanders value them for couched lances.
U182,Mareth Imperium,Red Lancers,Cavalry,These troops are household troops of the Imperium. They are the backbone of many campaigns. Commanders value them for overrun and couched lances. On the field they rely on hammer blow and drive deep.
U183,Mareth Imperium,Old Heavy Horse,Cavalry,Commanders value them for couched lances and devastating impact. These troops are gilded veterans of Mareth. They are the backbone of many campaigns. On the field they rely on thunderous charge and hammer blow.
U184,Mareth Imperium,Old Bulwarks,Line Infantry,They are fielded in most engagements. These troops are gilded veterans of Mareth. On the field they rely on stand and hold and absorb the charge. Commanders value them for the anvil of the army.
U185,Mareth Imperium,Gray Shields,Line Infantry,They are fielded in most engagements. These troops are gilded veterans of Mareth. On the field they rely on grinding attrition and close order. Commanders value them for stand and hold.
U186,Mareth Imperium,Old Lancers,Cavalry,On the field they rely on devastating impact and crash into the line. These troops are household troops of the Imperium. They are the backbone of many campaigns. Commanders value them for armored heavy horse.
U187,Mareth Imperium,Golden Skirmishers,Skirmisher,On the field they rely on peppering the flanks and nimble. Commanders value them for loose formation and harass. These troops are household troops of the Imperium. They are the backbone of many campaigns.
U188,Mareth Imperium,Golden Pikes,Anti-Cavalry,They are well regarded by commanders. These troops are household troops of the Imperium. On the field they rely on disciplined block and lowered pikes. Commanders value them for wall of points.
U189,Mareth Imperium,Ashen Bows,Missile,Commanders value them for arcing arrows. On the field they rely on loose at range and massed volley. They are recruited each season. These troops are household troops of the Imperium.
U190,Mareth Imperium,Free Knights,Cavalry,Commanders value them for armored heavy horse. On the field they rely on break the enemy and devastating impact. They are seasoned veterans. These troops are gilded veterans of Mareth.
U191,Mareth Imperium,Red Shields,Line Infantry,Commanders value them for stand and hold. They are recruited each season. These troops are household troops of the Imperium. On the field they rely on steadfast and close order.
U192,Mareth Imperium,Silent Phalanx,Anti-Cavalry,These troops are gilded veterans of Mareth. They are a mainstay of the roster. On the field they rely on phalanx and braced spears. Commanders value them for long shafts.
U193,Mareth Imperium,Gray Marksmen,Missile,On the field they rely on loose at range and ranged fire. Commanders value them for picking off and rain of shafts. They are a mainstay of the roster. These troops are gilded veterans of Mareth.
U194,Mareth Imperium,Old Knights,Cavalry,On the field they rely on shatter the formation and thunderous charge. These troops are gilded veterans of Mareth. They are recruited each season. Commanders value them for overrun.
U195,Mareth Imperium,Silent Heavy Horse,Cavalry,They are a mainstay of the roster. On the field they rely on break the enemy and drive deep. Commanders value them for hammer blow and crash into the line. These troops are household troops of the Imperium.
U196,Mareth Imperium,Old Outriders,Cavalry,Commanders value them for encircle the flanks and wheel and retreat. They are well regarded by commanders. On the field they rely on scouting screen and swift mounts. These troops are gilded veterans of Mareth.
U197,Mareth Imperium,Gray Swords,Line Infantry,These troops are household troops of the Imperium. Commanders value them for cut through the line and press the advantage. They are seasoned veterans. On the field they rely on close-quarters brawl and flanking maneuvers.
U198,Mareth Imperium,Silent Spears,Anti-Cavalry,On the field they rely on anti-cavalry stakes and set to receive. They are fielded in most engagements. Commanders value them for braced spears and repel the charge. These troops are gilded veterans of Mareth.
U199,Mareth Imperium,Silent Phalanx,Anti-Cavalry,They are a mainstay of the roster. On the field they rely on phalanx and repel the charge. These troops are household troops of the Imperium. Commanders value them for wall of points.
U200,Mareth Imperium,Old Spears,Anti-Cavalry,On the field they rely on repel the charge and lowered pikes. These troops are household troops of the Imperium. They are seasoned veterans. Commanders value them for hedge of steel and phalanx.
U201,Mareth Imperium,Storm Runners,Skirmisher,On the field they rely on screen the advance and light and fast. These troops are household troops of the Imperium. They are seasoned veterans. Commanders value them for dart in and out.
U202,Mareth Imperium,Golden Longbows,Missile,Commanders value them for quivers emptied and rain of shafts. These troops are household troops of the Imperium. On the field they rely on massed volley and arcing arrows. They are seasoned veterans.
U203,Mareth Imperium,Golden Lancers,Cavalry,On the field they rely on crash into the line and thunderous charge. These troops are household troops of the Imperium. They are fielded in most engagements. Commanders value them for overrun.
U204,Mareth Imperium,Silent Archers,Missile,They are well regarded by commanders. These troops are gilded veterans of Mareth. On the field they rely on arcing arrows and massed volley. Commanders value them for softening the enemy and loose at range.
U205,Mareth Imperium,Free Pikes,Anti-Cavalry,On the field they rely on set to receive and disciplined block. They are seasoned veterans. These troops are gilded veterans of Mareth. Commanders value them for repel the charge.
U206,Mareth Imperium,Gray Slingers,Siege,On the field they rely on harass and light and fast. They are seasoned veterans. Commanders value them for loose formation. These troops are gilded veterans of Mareth.
U207,Mareth Imperium,Ashen Chargers,Cavalry,They are a mainstay of the roster. Commanders value them for hammer blow. On the field they rely on devastating impact and crash into the line. These troops are gilded veterans of Mareth.
U208,Mareth Imperium,Gray Chargers,Cavalry,These troops are gilded veterans of Mareth. Commanders value them for thunderous charge. They are the backbone of many campaigns. On the field they rely on crash into the line and armored heavy horse.
U209,Mareth Imperium,Red Knights,Anti-Cavalry,These troops are gilded veterans of Mareth. On the field they rely on crash into the line and break the enemy. They are fielded in most engagements. Commanders value them for hammer blow.
U210,Sable Nomads,Red Engines,Line Infantry,They are fielded in most engagements. On the field they rely on siege engine and ranging shots. Commanders value them for long-range engine. These troops are riders of the Sable wastes.
U211,Sable Nomads,Iron Slingers,Skirmisher,These troops are riders of the Sable wastes. On the field they rely on peppering the flanks and throwing spears. They are fielded in most engagements. Commanders value them for javelins.
U212,Sable Nomads,Old Bows,Missile,They are a mainstay of the roster. Commanders value them for quivers emptied. These troops are riders of the Sable wastes. On the field they rely on arcing arrows and field of arrows.
U213,Sable Nomads,Storm Hussars,Cavalry,They are fielded in most engagements. These troops are far-ranging desert nomads. On the field they rely on hit-and-run riders and wheel and retreat. Commanders value them for run down stragglers and outriders.
U214,Sable Nomads,Storm Onagers,Siege,These troops are far-ranging desert nomads. On the field they rely on bombardment and hurled stones. They are well regarded by commanders. Commanders value them for ranging shots and onager.
U215,Sable Nomads,Golden Spears,Anti-Cavalry,These troops are riders of the Sable wastes. They are recruited each season. On the field they rely on hedge of steel and anti-cavalry stakes. Commanders value them for disciplined block and wall of points.
U216,Sable Nomads,Iron Phalanx,Anti-Cavalry,Commanders value them for lowered pikes. On the field they rely on long shafts and repel the charge. They are recruited each season. These troops are far-ranging desert nomads.
U217,Sable Nomads,Free Longbows,Missile,On the field they rely on ranged fire and loose at range. Commanders value them for rain of shafts and quivers emptied. These troops are riders of the Sable wastes. They are a mainstay of the roster.
U218,Sable Nomads,Free Wardens,Line Infantry,On the field they rely on hold the line and the anvil of the army. These troops are far-ranging desert nomads. Commanders value them for shield wall and unbreakable ranks. They are recruited each season.
U219,Sable Nomads,Storm Scouts,Cavalry,On the field they rely on harassing horse and swift mounts. These troops are riders of the Sable wastes. Commanders value them for run down stragglers. They are a mainstay of the roster.
U220,Sable Nomads,Gray Cutters,Line Infantry,Commanders value them for quick footwork and duelists. On the field they rely on opportunistic strikes and flanking maneuvers. These troops are far-ranging desert nomads. They are recruited each season.
U221,Sable Nomads,Gray Skirmishers,Skirmisher,These troops are riders of the Sable wastes. On the field they rely on nimble and screen the advance. They are fielded in most engagements. Commanders value them for dart in and out.
U222,Sable Nomads,Gray Chargers,Cavalry,These troops are far-ranging desert nomads. Commanders value them for overrun and couched lances. On the field they rely on hammer blow and thunderous charge. They are well regarded by commanders.
U223,Sable Nomads,Silent Pikes,Anti-Cavalry,They are fielded in most engagements. On the field they rely on repel the charge and phalanx. Commanders value them for hedge of steel and disciplined block. These troops are far-ranging desert nomads.
U224,Sable Nomads,Ashen Heavy Horse,Cavalry,On the field they rely on drive deep and overrun. These troops are far-ranging desert nomads. They are recruited each season. Commanders value them for armored heavy horse and hammer blow.
U225,Sable Nomads,Storm Hussars,Cavalry,They are the backbone of many campaigns. These troops are riders of the Sable wastes. Commanders value them for harassing horse and loose skirmishing horse. On the field they rely on swift mounts and wheel and retreat.
U226,Sable Nomads,Red Onagers,Siege,They are the backbone of many campaigns. On the field they rely on onager and long-range engine. These troops are riders of the Sable wastes. Commanders value them for crew-served and bombardment.
U227,Sable Nomads,Old Bulwarks,Line Infantry,On the field they rely on steadfast and close order. They are the backbone of many campaigns. Commanders value them for shield wall and hold the line. These troops are far-ranging desert nomads.
U228,Sable Nomads,Golden Hussars,Cavalry,On the field they rely on scouting screen and loose skirmishing horse. Commanders value them for run down stragglers. They are recruited each season. These troops are riders of the Sable wastes.
U229,Sable Nomads,Gray Outriders,Cavalry,These troops are far-ranging desert nomads. Commanders value them for run down stragglers and scouting screen. They are a mainstay of the roster. On the field they rely on loose skirmishing horse and harassing horse.
U230,Sable Nomads,Old Scouts,Cavalry,On the field they rely on outriders and wheel and retreat. These troops are far-ranging desert nomads. They are well regarded by commanders. Commanders value them for encircle the flanks.
U231,Sable Nomads,Silent Archers,Missile,Commanders value them for rain of shafts. On the field they rely on picking off and draw and release. They are seasoned veterans. These troops are riders of the Sable wastes.
U232,Sable Nomads,Gray Outriders,Cavalry,These troops are riders of the Sable wastes. Commanders value them for swift mounts and loose skirmishing horse. On the field they rely on run down stragglers and encircle the flanks. They are recruited each season.
U233,Sable Nomads,Free Longbows,Missile,Commanders value them for arcing arrows. These troops are far-ranging desert nomads. They are the backbone of many campaigns. On the field they rely on massed volley and rain of shafts.
U234,Sable Nomads,Golden Bulwarks,Line Infantry,On the field they rely on grinding attrition and shield wall. These troops are riders of the Sable wastes. They are a mainstay of the roster. Commanders value them for steadfast and absorb the charge.
U235,Sable Nomads,Silent Longbows,Missile,Commanders value them for draw and release and picking off. These troops are far-ranging desert nomads. On the field they rely on field of arrows and ranged fire. They are recruited each season.
U236,Sable Nomads,Silent Riders,Cavalry,They are recruited each season. On the field they rely on swift mounts and encircle the flanks. Commanders value them for hit-and-run riders and harassing horse. These troops are riders of the Sable wastes.
U237,Sable Nomads,Iron Riders,Cavalry,On the field they rely on loose skirmishing horse and hit-and-run riders. They are recruited each season. These troops are riders of the Sable wastes. Commanders value them for harassing horse.
U238,Sable Nomads,Golden Outriders,Cavalry,These troops are far-ranging desert nomads. Commanders value them for encircle the flanks. On the field they rely on loose skirmishing horse and wheel and retreat. They are well regarded by commanders.
U239,Sable Nomads,Iron Javelins,Skirmisher,Commanders value them for harass and throwing spears. They are well regarded by commanders. On the field they rely on loose formation and peppering the flanks. These troops are riders of the Sable wastes.
